package,status,kali_categories,domain,summary
kismet-capture-rtl433,installed,none-detected,general-ops,Kismet rtl_433 datasource
kismet-capture-rtladsb,installed,none-detected,general-ops,Kismet rtladsb datasource
kismet-capture-rz-killerbee,installed,none-detected,general-ops,Kismet Killerbee Sniffer capture helper
kismet-capture-serial-radview,installed,none-detected,general-ops,Kismet capture driver serial radview
kismet-capture-ti-cc-2531,installed,none-detected,exploitation-c2,Kismet TICC2531 802.15.4 Zigbee Sniffer capture helper
kismet-capture-ti-cc-2540,installed,none-detected,exploitation-c2,Kismet TICC2540 BTLE Sniffer capture helper
kismet-capture-ubertooth-one,installed,none-detected,general-ops,Kismet Ubertooth One BT Sniffer capture helper
kismet-core,installed,kali-wifi,wireless-rf,Kismet Core wireless network and device detector
kismet-logtools,installed,none-detected,wireless-rf,wireless network and device detector
kismet-plugins,installable-missing,none-detected,wireless-rf,wireless sniffer and monitor - plugins
python3-kismetcapturefreaklabszigbee,installable-missing,none-detected,general-ops,Kismet Freaklabs Zigbee datasource (transitional package)
python3-kismetcapturertl433,installable-missing,none-detected,general-ops,Kismet rtl_433 datasource (transitional package)
python3-kismetcapturertladsb,installable-missing,none-detected,general-ops,Kismet rtladsb datasource (transitional package)
knocker,installed,none-detected,general-ops,Simple and easy to use TCP security port scanner
koadic,installed,none-detected,exploitation-c2,Windows post-exploitation rootkit
krbrelayx,installed,none-detected,credential-access,Kerberos relaying and unconstrained delegation abuse toolkit
kubernetes-helm,installed,none-detected,cloud-container,tool for managing Charts (helm)
kustomize,installed,none-detected,cloud-container,Customization of Kubernetes YAML configurations (program)
golang-k8s-sigs-kustomize-dev,installable-missing,none-detected,cloud-container,Customization of Kubernetes YAML configurations (library)
lapsdumper,installed,none-detected,credential-access,Tool that dumps LAPS passwords
laudanum,installed,kali-persistence,web-app,Collection of injectable web files
lbd,installed,kali-web-scanning,web-app,Load balancer detector
ldeep,installed,none-detected,general-ops,In-depth ldap enumeration utility
legion,installed,kali-network-information;kali-reconnaissance,reconnaissance,semi-automated network penetration testing tool
libewf,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
ewf-tools,installed,none-detected,general-ops,collection of tools for reading and writing EWF files
libewf-dev,installable-missing,none-detected,development-support,support for Expert Witness Compression format (development)
libewf2,installed,none-detected,development-support,library with support for Expert Witness Compression Format
python3-libewf,installed,none-detected,general-ops,support for Expert Witness Compression format -- Python 3 bindings
libfindrtp,installed,none-detected,development-support,Library required by multiple VoIP tools
libimage-exiftool-perl,installed,none-detected,development-support,library and program to read and write meta information in multimedia files
libpst,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libpst-dev,installable-missing,none-detected,development-support,library for reading Microsoft Outlook PST files (development files)
libpst4t64,installed,none-detected,development-support,library for reading Microsoft Outlook PST files
pst-utils,installed,none-detected,general-ops,tools for reading Microsoft Outlook PST files
libsmali-java,installed,none-detected,general-ops,assembler/disassembler for Android's dex format
ligolo-mp,installed,none-detected,general-ops,Multiplayer pivoting solution
ligolo-ng,installed,none-detected,wireless-rf,"Advanced, yet simple, tunneling/pivoting tool that uses a TUN interface"
ligolo-ng-common-binaries,installed,none-detected,general-ops,Prebuilt binaries for Advanced ligolo-ng
linkedin2username,installed,none-detected,general-ops,Generate username lists for companies on LinkedIn
linux-exploit-suggester,installed,none-detected,exploitation-c2,LES: Linux privilege escalation auditing tool
llm-tools-nmap,installed,none-detected,general-ops,plugin for LLM tool hat provides Nmap network scanning capabilities
llvm-defaults,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
clang,installed,kali-resource-development,reverse-fuzzing,"C, C++ and Objective-C compiler (LLVM based), clang binary"
clang-format,installable-missing,none-detected,general-ops,Tool to format C/C++/Obj-C code
clang-tidy,installable-missing,none-detected,general-ops,clang-based C++ linter tool
clang-tools,installable-missing,none-detected,general-ops,clang-based tools
clangd,installable-missing,none-detected,general-ops,Language server that provides IDE-like features to editors
flang,installable-missing,none-detected,general-ops,Fortran compiler
libbolt-dev,installable-missing,none-detected,development-support,Post-link optimizer - Development package
libc++-dev,installable-missing,none-detected,development-support,LLVM C++ Standard library (development files)
libc++-dev-wasm32,installable-missing,none-detected,development-support,LLVM C++ Standard library (WASI)
libc++abi-dev,installable-missing,none-detected,development-support,LLVM low level support for a standard C++ library (development files)
libclang-cpp-dev,installable-missing,none-detected,wireless-rf,C++ interface to the clang library
libclang-dev,installable-missing,none-detected,development-support,clang library - Development package
libclang-rt-dev,installable-missing,none-detected,development-support,Compiler-rt - Development package
libclang-rt-dev-wasm32,installable-missing,none-detected,development-support,Compiler-rt - wasm32 builtins
libclang-rt-dev-wasm64,installable-missing,none-detected,development-support,Compiler-rt - wasm64 builtins
libclang-rt-dev-win,installable-missing,none-detected,development-support,Compiler-rt - MingW 64 builtins
libflang-dev,installable-missing,none-detected,development-support,Flang library - Development package
liblld-dev,installable-missing,none-detected,development-support,"LLVM-based linker, library"
liblldb-dev,installable-missing,none-detected,wireless-rf,"Next generation, high-performance debugger, header files"
libllvm-ocaml-dev,installable-missing,none-detected,development-support,"Modular compiler and toolchain technologies, bindings for OCaml"
libomp-dev,installable-missing,none-detected,development-support,LLVM OpenMP runtime - dev package
libpolly-dev,installable-missing,none-detected,development-support,High-level loop and data-locality optimizer
lld,installable-missing,none-detected,general-ops,LLVM-based linker
lldb,installable-missing,none-detected,wireless-rf,"Next generation, high-performance debugger"
llvm,installable-missing,none-detected,general-ops,Modular compiler and toolchain technologies
llvm-bolt,installable-missing,none-detected,general-ops,Post-link optimizer
llvm-dev,installable-missing,none-detected,development-support,"Modular compiler and toolchain technologies, libraries and headers"
llvm-runtime,installable-missing,none-detected,general-ops,"Modular compiler and toolchain technologies, bytecode interpreter"
python3-clang,installable-missing,none-detected,general-ops,Clang Python Bindings
python3-lldb,installable-missing,none-detected,wireless-rf,"Next generation, high-performance debugger, python lib"
lvm2,installed,none-detected,general-ops,Linux Logical Volume Manager
dmeventd,installed,none-detected,general-ops,Linux Kernel Device Mapper event daemon
dmsetup,installed,none-detected,development-support,Linux Kernel Device Mapper userspace library
dmsetup-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libdevmapper-dev,installable-missing,none-detected,development-support,Linux Kernel Device Mapper header files
libdevmapper-event1.02.1,installed,none-detected,development-support,Linux Kernel Device Mapper event support library
libdevmapper1.02.1,installed,none-detected,development-support,Linux Kernel Device Mapper userspace library
libdevmapper1.02.1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
liblvm2-dev,installable-missing,none-detected,development-support,LVM2 libraries - development files
liblvm2cmd2.03,installed,none-detected,development-support,LVM2 command library
lvm2-dbusd,installable-missing,none-detected,general-ops,LVM2 D-Bus daemon
lvm2-lockd,installable-missing,none-detected,general-ops,LVM locking daemon
lvm2-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
lynis,installed,none-detected,defensive-monitoring,security auditing tool for Unix based systems
mac-robber,installed,none-detected,general-ops,collects data about allocated files in mounted filesystems
macchanger,installed,kali-defense-evasion,wireless-rf,utility for manipulating the MAC address of network interfaces
magicrescue,installed,kali-forensic-carving-tools,forensics-ir,recover files by looking for magic bytes
maltego,installed,kali-identify;kali-reconnaissance;kali-reporting-tools,reconnaissance,Open source intelligence and forensics application
maltego-teeth,installed,none-detected,general-ops,Set of offensive Maltego transforms
maryam,installed,none-detected,general-ops,OWASP Maryam is a modular/optional open source framework bas
maskprocessor,installed,none-detected,wireless-rf,high-performance word generator with a per-position configurable charset
masscan,installed,kali-discovery;kali-network-service-discovery,general-ops,TCP port scanner
massdns,installed,none-detected,wireless-rf,high-performance DNS stub resolver
mc,installed,none-detected,wireless-rf,Midnight Commander - a powerful file manager
mc-data,installed,none-detected,wireless-rf,Midnight Commander - a powerful file manager -- data files
mcp-kali-server,installed,none-detected,general-ops,API bridge connecting MCP Clients to the API server
mdbtools,installed,none-detected,general-ops,JET / MS Access database (MDB) tools
libmdb3t64,installed,none-detected,development-support,Core library for accessing JET / MS Access (MDB) files
libmdbsql3t64,installed,none-detected,development-support,mdbtools SQL library
mdbtools-dev,installable-missing,none-detected,development-support,mdbtools development files
mdbtools-doc,installable-missing,none-detected,development-support,Dummy package
odbc-mdbtools,installable-missing,none-detected,general-ops,MDB tools ODBC driver
mdk3,installed,none-detected,wireless-rf,Wireless attack tool for IEEE 802.11 networks
mdk4,installed,none-detected,wireless-rf,Wireless attack tool for IEEE 802.11 networks
medusa,installed,kali-brute-force;kali-credential-access,credential-access,"fast, parallel, modular, login brute-forcer for network services"
memdump,installed,none-detected,general-ops,utility to dump memory contents to standard output
mercurial,installed,none-detected,general-ops,"easy-to-use, scalable distributed version control system"
mercurial-common,installed,none-detected,general-ops,"easy-to-use, scalable distributed version control system (common files)"
merlin,installable-missing,none-detected,general-ops,Command & Control server & agent (metapackage)
golang-github-ne0nd0g-merlin-dev,installable-missing,none-detected,web-app,Cross-platform post-exploitation HTTP/2 Command & Control server (source)
merlin-server,installed,none-detected,web-app,Cross-platform post-exploitation HTTP/2 Command & Control server
merlin-agent,installed,none-detected,web-app,Cross-platform post-exploitation HTTP/2 Command & Control agent
metacam,installed,none-detected,general-ops,extract EXIF information from digital camera files
metagoofil,installed,none-detected,development-support,Tool designed for extracting metadata of public documents
metasploit-framework,installed,kali-command-and-control;kali-defense-evasion;kali-execution;kali-initial-access;kali-privilege-escalation;kali-resource-development,exploitation-c2,Framework for exploit development and vulnerability research
metasploitmcp,installed,none-detected,exploitation-c2,MCP Server for Metasploit
mimikatz,installed,kali-os-credential-dumping;kali-pass-the-hash,credential-access,Uses admin rights on Windows to display passwords in plaintext
minicom,installed,none-detected,general-ops,Friendly menu driven serial communication program
miredo,installed,kali-protocol-tunneling,general-ops,Teredo IPv6 tunneling through NATs
miredo-server,installable-missing,none-detected,general-ops,Teredo IPv6 tunneling server
missidentify,installed,none-detected,general-ops,find win32 applications
mitm6,installed,none-detected,general-ops,pwning IPv4 via IPv6
mitmproxy,installed,kali-collection,web-app,SSL-capable man-in-the-middle HTTP proxy
mongo-tools,installed,none-detected,general-ops,MongoDB tools (program)
msfpc,installed,kali-resource-development,development-support,MSFvenom Payload Creator (MSFPC)
msitools,installable-missing,none-detected,general-ops,Windows Installer file manipulation tool
gir1.2-libmsi-1.0,installable-missing,none-detected,development-support,Windows Installer file manipulation library - gir bindings
libmsi-1.0-0,installed,none-detected,development-support,Windows Installer file manipulation library
libmsi-dev,installable-missing,none-detected,development-support,Windows Installer file manipulation library - development files
wixl,installed,none-detected,general-ops,Windows Installer creation tool
wixl-data,installed,none-detected,general-ops,Windows Installer creation tool — data files
mssqlpwner,installed,none-detected,general-ops,Advanced and versatile pentesting tool
multiforcer,installed,none-detected,credential-access,GPU accelerated password cracking tool
multimac,installed,none-detected,general-ops,Create multiple MACs on an adapter
multimon-ng,installed,none-detected,general-ops,digital radio transmission decoder
mxcheck,installed,none-detected,general-ops,Info and security scanner for e-mail servers
myrescue,installed,none-detected,general-ops,rescue data from damaged disks
mysql-defaults,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
default-libmysqlclient-dev,installable-missing,none-detected,development-support,MySQL database development files (metapackage)
default-mysql-client,installable-missing,none-detected,general-ops,MySQL database client binaries (metapackage)
default-mysql-client-core,installable-missing,none-detected,general-ops,MySQL database core client binaries (metapackage)
default-mysql-server,installed,none-detected,general-ops,MySQL database server binaries and system database setup (metapackage)
default-mysql-server-core,installable-missing,none-detected,general-ops,MySQL database server binaries (metapackage)
mysql-common,installed,none-detected,general-ops,"MySQL database common files, e.g. /etc/mysql/my.cnf"
naabu,installed,none-detected,general-ops,fast port scanner with a focus on reliability and simplicity
name-that-hash,installed,none-detected,general-ops,"Identify MD5, SHA256 and 300+ other hash types"
nasm,installed,none-detected,general-ops,General-purpose x86 assembler
nasty,installed,none-detected,forensics-ir,tool which helps you to recover your GPG passphrase
nbtscan,installed,kali-network-share-discovery,general-ops,scan networks searching for NetBIOS information
nbtscan-unixwiz,installed,none-detected,general-ops,Scanner for open NETBIOS nameservers
ncat-w32,installed,none-detected,general-ops,Netcat for the 21st century
ncrack,installed,kali-brute-force;kali-credential-access,credential-access,High-speed network authentication cracking tool
ncurses-hexedit,installed,none-detected,general-ops,"Edit files/disks in hex, ASCII and EBCDIC"
net-snmp,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libnetsnmptrapd45,installed,none-detected,development-support,SNMP (Simple Network Management Protocol) trap library
libsnmp-base,installed,none-detected,development-support,"SNMP configuration script, MIBs and documentation"
libsnmp-dev,installable-missing,none-detected,development-support,SNMP (Simple Network Management Protocol) development files
libsnmp-perl,installed,none-detected,general-ops,SNMP (Simple Network Management Protocol) Perl5 support
libsnmp45,installed,none-detected,development-support,SNMP (Simple Network Management Protocol) library
snmp,installed,none-detected,general-ops,SNMP (Simple Network Management Protocol) applications
snmpd,installed,none-detected,general-ops,SNMP (Simple Network Management Protocol) agents
snmptrapd,installable-missing,none-detected,general-ops,Net-SNMP notification receiver
tkmib,installable-missing,none-detected,general-ops,SNMP (Simple Network Management Protocol) MIB browser
net-tools,installed,none-detected,general-ops,NET-3 networking toolkit
netbase,installed,none-detected,general-ops,Basic TCP/IP networking system
netcat,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
netcat-traditional,installed,kali-exfiltration;kali-non-application-layer-protocol,general-ops,TCP/IP swiss army knife
netdiscover,installed,kali-discovery;kali-system-network-configuration-discovery,general-ops,active/passive network address scanner using ARP requests
netexec,installed,kali-application-layer-protocol;kali-brute-force;kali-credential-access;kali-lateral-movement;kali-network-share-discovery;kali-pass-the-hash,credential-access,Network Execution Tool
netmask,installed,kali-system-network-configuration-discovery,general-ops,helps determine network masks
netscanner,installed,none-detected,general-ops,Network scanner & diagnostic tool with modern TUI
netsed,installed,none-detected,general-ops,network packet-altering stream editor
netsniff-ng,installed,kali-network-sniffing;kali-respond,general-ops,Linux network packet sniffer toolkit
netw-ib-ox-ag,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
netwag,installed,none-detected,general-ops,graphical frontend for netwox
netwag-doc,installable-missing,none-detected,development-support,documentation for netwag frontend
netwox,installed,none-detected,general-ops,networking utilities
netwox-doc,installable-missing,none-detected,development-support,documentation for netwox toolbox
nextnet,installed,none-detected,general-ops,pivot point discovery tool in Go
nfs-utils,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libnfsidmap-dev,installable-missing,none-detected,development-support,header files and docs for libnfsidmap
libnfsidmap1,installed,none-detected,development-support,NFS idmapping library
nfs-common,installed,none-detected,general-ops,NFS support files common to client and server
nfs-kernel-server,installable-missing,none-detected,general-ops,support for NFS kernel server
ngrep,installed,none-detected,general-ops,grep for network traffic
nikto,installed,kali-web-vulnerability-scanning,web-app,web server security scanner
nipper-ng,installed,none-detected,general-ops,Device security configuration review tool
nishang,installed,none-detected,general-ops,Collection of PowerShell scripts and payloads
nmap,installed,kali-discovery;kali-network-information;kali-network-service-discovery;kali-reconnaissance;kali-vulnerability-scanning,reconnaissance,The Network Mapper
ncat,installed,kali-non-application-layer-protocol,general-ops,NMAP netcat reimplementation
ndiff,installed,none-detected,general-ops,The Network Mapper - result compare utility
nmap-common,installed,none-detected,general-ops,Architecture independent files for nmap
zenmap,installed,none-detected,general-ops,The Network Mapper Front End
nmapsi4,installed,none-detected,wireless-rf,"graphical interface to nmap, the network scanner"
nuclei,installed,none-detected,general-ops,Fast and customizable vulnerability scanner based on simple YAML based DSL
obsidian,installed,none-detected,general-ops,Private and flexible writing app that adapts to the way you think
oclgausscrack,installed,none-detected,general-ops,Cracks verification hashes of the Gauss Virus
odat,installed,none-detected,general-ops,Oracle Database Attacking Tool
offsec-courses,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
offsec-awae,installable-missing,none-detected,web-app,Resources for OffSec's AWAE/WEB-300
offsec-awae-python2,installable-missing,none-detected,web-app,Python 2 resources for OffSec's AWAE/WEB-300
offsec-exp100,installable-missing,none-detected,general-ops,Resources for OffSec's EXP-100 path
offsec-exp301,installable-missing,none-detected,general-ops,Resources for OffSec's WUMED/EXP-301
offsec-pen300,installable-missing,none-detected,general-ops,Resources for OffSec's ETBD/PEN-300
offsec-pwk,installable-missing,none-detected,general-ops,Resources for OffSec's PWK2/PEN-200
ohrwurm,installed,none-detected,reverse-fuzzing,RTP fuzzer
ollydbg,installed,none-detected,reverse-fuzzing,32-bit assembler level analysing debugger
onesixtyone,installed,kali-snmp,general-ops,fast and simple SNMP scanner
openocd,installed,none-detected,general-ops,Open on-chip JTAG/SWD debug solution for embedded target devices
openssh,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
openssh-client,installed,none-detected,general-ops,"secure shell (SSH) client, for secure access to remote machines"
openssh-client-gssapi,installed,none-detected,general-ops,"secure shell (SSH) client, with GSS-API support"
openssh-client-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
openssh-server,installed,none-detected,general-ops,"secure shell (SSH) server, for secure access from remote machines"
openssh-server-gssapi,installable-missing,none-detected,general-ops,"secure shell (SSH) server, with GSS-API key exchange"
openssh-server-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
openssh-sftp-server,installed,none-detected,general-ops,"secure shell (SSH) sftp server module, for SFTP access from remote machines"
openssh-tests,installable-missing,none-detected,general-ops,OpenSSH regression tests
ssh,installable-missing,none-detected,general-ops,secure shell client and server (metapackage)
ssh-askpass-gnome,installable-missing,none-detected,general-ops,interactive X program to prompt users for a passphrase for ssh-add
openssh-ssh1,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
openssh-client-ssh1,installed,none-detected,general-ops,secure shell (SSH) client for legacy SSH1 protocol
openssl,installed,none-detected,crypto-stego,Secure Sockets Layer toolkit - cryptographic utility
libcrypto3-udeb,unresolved-on-snapshot,none-detected,crypto-stego,No package metadata available on current APT snapshot.
libssl-dev,installed,none-detected,development-support,Secure Sockets Layer toolkit - development files
libssl-doc,installable-missing,none-detected,development-support,Secure Sockets Layer toolkit - development documentation
libssl3-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libssl3t64,installed,none-detected,general-ops,Secure Sockets Layer toolkit - shared libraries
openssl-provider-fips,installable-missing,none-detected,crypto-stego,Secure Sockets Layer toolkit - cryptographic utility
openssl-provider-legacy,installed,none-detected,crypto-stego,Secure Sockets Layer toolkit - cryptographic utility
opentaxii,installed,none-detected,general-ops,TAXII server implementation from EclecticIQ
opentaxii-doc,installable-missing,none-detected,development-support,TAXII server implementation from EclecticIQ (common documentation)
openvpn,installed,none-detected,general-ops,virtual private network daemon
ophcrack,installed,none-detected,credential-access,Microsoft Windows password cracker using rainbow tables (gui)
ophcrack-cli,installed,kali-password-cracking,credential-access,Microsoft Windows password cracker using rainbow tables (cmdline)
oscanner,installed,none-detected,general-ops,Oracle assessment framework
osrframework,installed,none-detected,wireless-rf,Open Sources Research Framework
owasp-mantra-ff,installed,none-detected,web-app,Web application security testing framework built on top of Firefox
owl,installed,none-detected,wireless-rf,open Apple Wireless Direct Link (AWDL)
p0f,installed,none-detected,general-ops,Passive OS fingerprinting tool
pack,installed,none-detected,credential-access,Password analysis and cracking kit
pack2,installed,none-detected,credential-access,Password analysis and cracking kit 2
pacu,installed,none-detected,exploitation-c2,Open Source AWS Exploitation Framework
padbuster,installed,none-detected,wireless-rf,Script for performing Padding Oracle attacks
paros,installed,none-detected,web-app,Web application proxy
parsero,installed,none-detected,defensive-monitoring,Robots.txt audit tool
parted,installed,none-detected,general-ops,disk partition manipulator
libparted-dev,installable-missing,none-detected,development-support,disk partition manipulator - development files
libparted-fs-resize0-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libparted-fs-resize0t64,installed,none-detected,development-support,disk partition manipulator - shared FS resizing library
libparted-i18n,installable-missing,none-detected,general-ops,disk partition manipulator - i18n support
libparted2-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libparted2t64,installed,none-detected,development-support,disk partition manipulator - shared library
parted-doc,installable-missing,none-detected,development-support,disk partition manipulator - documentation
parted-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
pasco,installed,none-detected,forensics-ir,Internet Explorer cache forensic analysis tool
passdetective,installed,none-detected,general-ops,CLI tool that scans shell command history
passing-the-hash,installed,kali-pass-the-hash,credential-access,Patched tools to use password hashes as authentication input
patator,installed,kali-brute-force,general-ops,Multi-purpose brute-forcer
patchleaks,installed,none-detected,general-ops,Go from a CVE number to the exact patched code and its vulnerability analysis
payloadsallthethings,installed,none-detected,general-ops,Collection of useful payloads and bypasses
pdf-parser,installed,kali-pdf-forensics-tools,forensics-ir,Parses PDF files to identify fundamental elements
pdfcrack,installed,none-detected,credential-access,PDF files password cracker
pdfid,installed,kali-pdf-forensics-tools,forensics-ir,Scans PDF files for certain PDF keywords
peass-ng,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
peass,installed,kali-privilege-escalation,general-ops,Privilege Escalation Awesome Scripts SUITE
peirates,installed,none-detected,cloud-container,Kubernetes Penetration Testing tool
perl-cisco-copyconfig,installed,none-detected,general-ops,Provides methods for manipulating Cisco devices
phishery,installed,none-detected,credential-access,Basic Auth Credential Harvester with Word Doc Template Injector
photon,installed,none-detected,general-ops,Incredibly fast crawler designed for open source intelligence
php-defaults,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libapache2-mod-php,installed,none-detected,general-ops,"server-side, HTML-embedded scripting language (Apache 2 module) (default)"
libphp-embed,installable-missing,none-detected,development-support,HTML-embedded scripting language (Embedded SAPI library) (default)
php,installed,none-detected,general-ops,"server-side, HTML-embedded scripting language (default)"
php-all-dev,installable-missing,none-detected,development-support,package depending on all supported PHP development packages
php-bcmath,installable-missing,none-detected,general-ops,Bcmath module for PHP [default]
php-bz2,installable-missing,none-detected,general-ops,bzip2 module for PHP [default]
php-cgi,installed,none-detected,reverse-fuzzing,"server-side, HTML-embedded scripting language (CGI binary) (default)"
php-cli,installable-missing,none-detected,general-ops,command-line interpreter for the PHP scripting language (default)
php-common,installed,none-detected,general-ops,Common files for PHP packages
php-curl,installable-missing,none-detected,general-ops,CURL module for PHP [default]
php-dev,installable-missing,none-detected,development-support,Files for PHP module development (default)
php-enchant,installable-missing,none-detected,general-ops,Enchant module for PHP [default]
php-fpm,installable-missing,none-detected,reverse-fuzzing,"server-side, HTML-embedded scripting language (FPM-CGI binary) (default)"
php-gd,installable-missing,none-detected,general-ops,GD module for PHP [default]
php-gmp,installable-missing,none-detected,general-ops,GMP module for PHP [default]
php-interbase,installable-missing,none-detected,general-ops,Interbase module for PHP [default]
php-intl,installable-missing,none-detected,general-ops,Internationalisation module for PHP [default]
php-json,installable-missing,none-detected,general-ops,JSON module for PHP [default]
php-ldap,installable-missing,none-detected,general-ops,LDAP module for PHP [default]
php-mbstring,installable-missing,none-detected,general-ops,MBSTRING module for PHP [default]
php-mysql,installed,none-detected,general-ops,MySQL module for PHP [default]
php-odbc,installable-missing,none-detected,general-ops,ODBC module for PHP [default]
php-pgsql,installable-missing,none-detected,general-ops,PostgreSQL module for PHP [default]
php-phpdbg,installable-missing,none-detected,reverse-fuzzing,"server-side, HTML-embedded scripting language (PHPDBG binary) (default)"
php-readline,installable-missing,none-detected,general-ops,readline module for PHP [default]
php-snmp,installable-missing,none-detected,general-ops,SNMP module for PHP [default]
php-soap,installable-missing,none-detected,general-ops,SOAP module for PHP [default]
php-sqlite3,installed,none-detected,general-ops,SQLite3 module for PHP [default]
php-sybase,installable-missing,none-detected,general-ops,Sybase module for PHP [default]
php-tidy,installable-missing,none-detected,general-ops,tidy module for PHP [default]
php-xml,installable-missing,none-detected,general-ops,"DOM, SimpleXML, WDDX, XML, and XSL module for PHP [default]"
php-zip,installable-missing,none-detected,general-ops,Zip module for PHP [default]
phpggc,installed,none-detected,exploitation-c2,Generate payloads that exploit unsafe object deserialization
phpsploit,installed,none-detected,exploitation-c2,Stealth post-exploitation framework
pipal,installed,kali-reporting-tools,credential-access,Statistical analysis on password dumps
pixiewps,installed,kali-wifi-credential-access,wireless-rf,Offline WPS bruteforce tool
plaso,installed,none-detected,general-ops,super timeline all the things -- metapackage
python3-plaso,installed,none-detected,general-ops,super timeline all the things -- Python 3
plocate,installed,none-detected,general-ops,much faster locate
pnscan,installed,none-detected,general-ops,Multi threaded port scanner
pocsuite3,installed,none-detected,general-ops,Open-sourced remote vulnerability testing framework
polenum,installed,none-detected,credential-access,Extracts the password policy from a Windows system
pompem,installed,none-detected,exploitation-c2,Exploit and Vulnerability Finder
portspoof,installed,none-detected,general-ops,enhance OS security through a set of techniques
poshc2,installed,none-detected,exploitation-c2,proxy aware C2 framework
powercat,installed,none-detected,general-ops,netcat features all in powershell v2
powershell,installed,System;Utility;kali-services-and-other-tools,general-ops,PowerShell is an automation and configuration management platform.
powershell-empire,installed,kali-command-and-control,exploitation-c2,PowerShell and Python post-exploitation agent
powersploit,installed,kali-execution,exploitation-c2,PowerShell Post-Exploitation Framework
princeprocessor,installed,none-detected,credential-access,standalone password candidate generator using the PRINCE algorithm
protos-sip,installed,none-detected,general-ops,SIP test suite
proxify,installed,none-detected,web-app,"Swiss Army knife Proxy tool for HTTP/HTTPS traffic capture, manipulation"
proximoth,installed,none-detected,general-ops,Control Frame Attack Vulnerability Detection Tool
proxmark3,installed,none-detected,general-ops,"Firmware, flasher, and client for the Proxmark3"
proxmark3-common,installed,none-detected,general-ops,scripts for the Proxmark3
proxmark3-doc,installable-missing,none-detected,development-support,"Firmware, flasher, and client for the Proxmark3 (documentation)"
proxmark3-firmwares,installed,none-detected,general-ops,Firmwares for the Proxmark3
proxychains-ng,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libproxychains4,installed,none-detected,development-support,runtime shared library for proxychains-ng
proxychains4,installed,kali-protocol-tunneling,web-app,redirect connections through socks/http proxies (proxychains-ng)
proxytunnel,installed,kali-protocol-tunneling,web-app,Help SSH and other protocols through HTTP(S) proxies
pskracker,installed,none-detected,wireless-rf,collection of WPA/WPA2/WPS default keys generators/pingens
pskracker-data,installed,none-detected,wireless-rf,collection of WPA/WPA2/WPS default keys generators/pingens
pspy,installed,none-detected,defensive-monitoring,Monitor Linux processes without root permissions
ptunnel,installed,kali-protocol-tunneling,general-ops,Tunnel TCP connections over ICMP packets
pwnat,installed,kali-protocol-tunneling,general-ops,NAT to NAT client-server communication
pwncat,installed,none-detected,defensive-monitoring,netcat on steroids
pyinstaller,installed,kali-resource-development,development-support,Utility to bundle a Python application into a single package
python3-pyinstaller,installed,none-detected,general-ops,Python modules to bundle a Python application into a single package
pyinstxtractor,installed,none-detected,general-ops,PyInstalller Extractor
python-defaults,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libpython-all-dbg,installable-missing,none-detected,general-ops,package depending on all supported Python2 debugging packages
libpython-all-dev,installable-missing,none-detected,development-support,package depending on all supported Python2 development packages
libpython2-dbg,installable-missing,none-detected,general-ops,debug build of the Python2 interpreter (version 2.7)
libpython2-dev,installable-missing,none-detected,development-support,header files and a static library for Python2
libpython2-stdlib,installable-missing,none-detected,general-ops,interactive high-level object-oriented language (Python2)
python-all,installable-missing,none-detected,general-ops,package depending on all supported Python2 runtime versions
python-all-dbg,installable-missing,none-detected,general-ops,package depending on all supported Python2 debugging packages
python-all-dev,installable-missing,none-detected,development-support,package depending on all supported Python2 development packages
