package,status,kali_categories,domain,summary,when_to_use,offensive_use_case,defensive_use_case,general_use_case
libc6-ppc64,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libc6-sparc,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libc6-sparc64,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libc6-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libc6.1,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libc6.1-dbg,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libc6.1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libcryptsetup12-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libdevmapper1.02.1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libewf,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libfdisk1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libfreerdp-shadow-subsystem3-3,installable-missing,none-detected,general-ops,FreeRDP Remote Desktop Protocol shadow subsystem libraries,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libfreerdp-shadow3-3,installable-missing,none-detected,general-ops,FreeRDP Remote Desktop Protocol shadow libraries,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libfuse3-4-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-analog3.10.12,installed,none-detected,general-ops,gnuradio analog functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-audio3.10.12,installed,none-detected,general-ops,gnuradio audio functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-blocks3.10.12,installed,none-detected,general-ops,gnuradio blocks functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-channels3.10.12,installed,none-detected,general-ops,gnuradio channels functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-digital3.10.12,installed,none-detected,general-ops,gnuradio digital communications functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-dtv3.10.12,installed,none-detected,general-ops,gnuradio digital TV signal processing blocks,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-fec3.10.12,installed,none-detected,general-ops,gnuradio forward error correction support,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-fft3.10.12,installed,none-detected,general-ops,gnuradio fast Fourier transform functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-filter3.10.12,installed,none-detected,general-ops,gnuradio filter functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-iio3.10.12,installed,none-detected,general-ops,IIO blocks for GnuRadio,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-runtime3.10.12,installed,none-detected,general-ops,gnuradio core runtime,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-trellis3.10.12,installed,none-detected,general-ops,gnuradio trellis modulation functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-uhd3.10.12,installed,none-detected,general-ops,gnuradio universal hardware driver functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-video-sdl3.10.12,installed,none-detected,general-ops,gnuradio video functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-vocoder3.10.12,installed,none-detected,general-ops,gnuradio vocoder functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-wavelet3.10.12,installed,none-detected,general-ops,gnuradio wavelet functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libgnuradio-zeromq3.10.12,installed,none-detected,general-ops,gnuradio zeromq functions,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libhivex-bin,installed,none-detected,general-ops,utilities for reading and writing Windows Registry hives,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libhivex-ocaml,installable-missing,none-detected,general-ops,OCaml bindings for hivex -- runtime files,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libmount1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libnss-sudo,installable-missing,none-detected,general-ops,Transitional Package - libnss-sudo has been removed,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libnss-winbind,installable-missing,none-detected,general-ops,Samba nameservice integration plugins,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libpam-lastlog2,installable-missing,none-detected,general-ops,lastlog2 database PAM module,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libpam-winbind,installable-missing,none-detected,general-ops,Windows domain authentication integration plugin,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libparted-fs-resize0-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libparted-i18n,installable-missing,none-detected,general-ops,disk partition manipulator - i18n support,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libparted2-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libpst,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libpython-all-dbg,installable-missing,none-detected,general-ops,package depending on all supported Python2 debugging packages,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libpython2-dbg,installable-missing,none-detected,general-ops,debug build of the Python2 interpreter (version 2.7),"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libpython2-stdlib,installable-missing,none-detected,general-ops,interactive high-level object-oriented language (Python2),"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
librizin-common,installed,none-detected,general-ops,arch independent files from the Rizin suite,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
librizin0,installed,none-detected,general-ops,libraries from the Rizin suite,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libsmali-java,installed,none-detected,general-ops,assembler/disassembler for Android's dex format,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libsmartcols1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libsmbclient,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libsnmp-perl,installed,none-detected,general-ops,SNMP (Simple Network Management Protocol) Perl5 support,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libssl3-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libssl3t64,installed,none-detected,general-ops,Secure Sockets Layer toolkit - shared libraries,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libsvn-java,installable-missing,none-detected,general-ops,Java bindings for Apache Subversion,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libsvn-perl,installable-missing,none-detected,general-ops,Perl bindings for Apache Subversion,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libsvn1,installed,none-detected,general-ops,Shared libraries used by Apache Subversion,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libtevent0,installable-missing,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libuhd4.9.0-dpdk,installable-missing,none-detected,general-ops,universal hardware driver for Ettus Research products - DPDK,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libuhd4.9.0-dpdk-tests,installable-missing,none-detected,general-ops,universal hardware driver for Ettus Research products - DPDK tests,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libuuid1-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
libwin-hivex-perl,installable-missing,none-detected,general-ops,Perl bindings to hivex,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
ligolo-mp,installed,none-detected,general-ops,Multiplayer pivoting solution,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
ligolo-ng-common-binaries,installed,none-detected,general-ops,Prebuilt binaries for Advanced ligolo-ng,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
linkedin2username,installed,none-detected,general-ops,Generate username lists for companies on LinkedIn,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
lld,installable-missing,none-detected,general-ops,LLVM-based linker,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
llm-tools-nmap,installed,none-detected,general-ops,plugin for LLM tool hat provides Nmap network scanning capabilities,"Use when the task is operational glue work: transport, conversion, automation, data prep, or environment control.","Accelerate campaign support operations such as staging, transformation, and workflow orchestration in authorized tests.","Support defensive engineering tasks like data normalization, scripted checks, and repeatable remediation workflows.",Handle day-to-day utility operations that connect specialized tools into reliable end-to-end workflows.
